country,city,latitude,longitude,hemisphere,temp,humidity,clouds,wind,temp_max
MX,panindicuaro,19.966667,-101.766667,northern,60.8,87.0,75.0,2.64,60.8
MX,el coyote,25.7,-103.266667,northern,55.4,47.0,5.0,5.37,55.4
PH,dicabisagan,17.081839000000002,122.41574299999999,northern,76.86,82.0,100.0,16.78,76.86
MX,chichicapam,16.75,-96.483333,northern,53.6,93.0,5.0,1.12,53.6
MX,san lorenzo cuauhtenco,19.195833,-99.633889,northern,50.0,81.0,5.0,3.36,50.0
MX,mazatlan,17.45,-99.483333,northern,67.51,71.0,0.0,5.35,67.51
CN,xiongzhou,25.116667,114.3,northern,65.48,76.0,0.0,1.68,65.48
ML,kidal,18.4411111,1.4077778,northern,93.52,11.0,10.0,17.45,93.52
CN,haicheng,22.975326000000003,115.33179399999999,northern,72.0,73.0,0.0,1.99,72.0
MX,altamira,22.4,-97.916667,northern,67.48,63.0,5.0,8.05,69.01
US,toa alta,18.390277800000003,-66.2486111,northern,86.0,66.0,75.0,17.22,86.0
MX,eldorado,24.320278,-107.36027800000001,northern,71.47,72.0,75.0,4.85,73.0
US,waipahu,21.3866667,-158.00916669999998,northern,69.17,100.0,1.0,3.36,71.6
IN,ichhawar,23.016667,77.016667,northern,69.8,60.0,0.0,3.36,69.8
IN,patratu,23.666667,85.283333,northern,75.2,69.0,1.0,3.83,75.2
IN,puruliya,23.333333,86.366667,northern,76.35,62.0,75.0,4.12,76.35
TW,houlung,24.6141667,120.78777779999999,northern,70.5,82.0,40.0,3.36,73.0
IN,shahdol,23.283333,81.35,northern,67.68,44.0,0.0,2.01,67.68
TW,suao,24.6,121.83333329999999,northern,69.01,99.0,93.0,4.45,69.01
CU,palmira,22.2416667,-80.39027779999999,northern,82.4,83.0,3.0,6.93,82.4
MX,las vigas,19.633333,-97.083333,northern,51.35,84.0,69.0,1.95,51.35
GT,flores,16.933332999999998,-89.883333,northern,74.46,94.0,83.0,3.85,74.46
MX,tangamandapio,19.95,-102.43333299999999,northern,63.27,67.0,0.0,2.98,63.27
MX,altamirano,16.736110999999998,-92.038889,northern,63.18,94.0,99.0,1.79,63.18
